district,latitude,longitude,elevation_m,distance_to_river_m,landcover,soil_type,water_supply,electricity,road_quality,population_density_per_km2,built_up_percent,urban_rural,rainfall_7d_mm,monthly_rainfall_mm,drainage_index,ndvi,ndwi,water_presence_flag,historical_flood_count,infrastructure_score,nearest_hospital_km,nearest_evac_km,flood_risk_score,flood_occurrence_current_event,inundation_area_sqm,is_good_to_live,reason_not_good_to_live,is_synthetic
18,7.274049,80.931248,6,4368.9,4,0,1,0,3,964,27.9,0,37.9,30.8,0.425,0.183,0.218,0,2,58,3.61,0.21,24.9,0,0,1,9,1
22,8.427803,80.571176,19,1606.1,3,0,2,0,3,10,10.2,0,137.7,195.0,0.237,0.889,0.168,0,0,43,33.28,4.48,43.16,0,0,1,9,1
14,8.699449,81.187164,38,3458.5,2,3,0,0,0,854,22.3,0,15.1,250.3,0.55,0.528,-0.333,1,0,61,4.15,8.84,25.48,0,0,1,9,1
17,6.090212,80.024138,65,2679.1,0,2,4,0,1,506,6.4,0,18.1,368.6,0.477,0.275,0.152,0,0,32,5.49,5.45,34.88,0,0,1,9,1
9,8.424497,80.717034,26,1064.8,0,2,0,0,1,51,33.8,0,188.1,150.8,0.327,0.586,0.321,0,0,72,8.11,23.65,39.8,0,0,1,9,1
2,7.882171,80.147721,1127,69.1,3,4,1,1,0,490,1.0,0,144.3,204.5,0.798,0.475,0.056,1,0,31,10.32,0.41,40.44,0,0,1,9,1
21,9.156107,80.861403,123,1468.6,0,3,4,0,1,700,38.2,0,44.3,130.0,0.254,-0.039,-0.169,1,0,12,3.28,4.44,23.43,0,0,0,10,1
3,6.867047,79.898567,30,702.8,6,1,0,1,3,174,1.0,0,36.6,173.5,0.336,0.269,0.592,0,0,69,2.1,1.17,23.91,0,0,1,9,1
13,6.048764,81.803858,78,1987.3,2,3,4,0,0,602,21.7,0,60.0,227.1,0.203,0.184,-0.033,1,0,60,2.55,3.89,27.98,0,0,1,9,1
16,9.770389,81.589787,82,1600.8,0,4,0,0,0,775,16.8,0,3.9,117.2,0.717,0.431,-0.283,1,0,50,12.77,6.45,8.83,0,0,1,9,1
2,6.53723,80.0109,656,813.0,0,0,2,1,0,545,8.7,0,16.6,302.2,0.682,0.038,-0.149,1,0,34,0.07,10.24,27.06,0,0,1,9,1
9,7.047539,79.691462,2,1132.1,5,3,2,2,1,344,39.9,1,99.2,103.4,0.205,-0.047,0.478,0,1,28,13.79,2.79,42.58,0,0,0,10,1
9,8.667346,80.653281,39,639.4,4,4,3,0,1,81,16.8,0,149.7,409.7,0.706,-0.207,0.415,0,0,59,17.96,1.57,50.29,1,59042,1,9,1
23,8.179139,80.710948,64,1567.2,5,3,0,0,0,324,11.3,1,101.1,158.9,0.519,-0.043,-0.116,1,0,56,4.54,24.94,23.13,0,0,1,9,1
0,5.947063,79.813005,53,996.8,0,3,3,1,3,1191,11.1,1,58.1,108.6,0.53,0.701,-0.006,1,0,36,3.16,4.38,16.52,0,0,1,9,1
1,6.218243,80.543077,51,284.8,4,0,0,0,1,989,31.5,0,171.9,347.9,0.644,0.324,0.159,0,0,62,13.6,3.61,55.12,0,0,1,9,1
14,6.065054,80.018999,107,1154.7,6,0,4,0,1,645,48.2,0,193.7,167.4,0.297,0.226,-0.199,0,0,56,1.99,3.25,37.16,0,0,1,9,1
23,6.943616,80.690902,4,4054.0,0,0,0,0,2,729,35.7,0,64.9,520.3,0.228,-0.308,-0.143,1,1,49,7.99,7.93,70.75,1,32040,0,1,1
12,7.541506,81.004175,25,2002.3,0,3,0,0,1,519,1.0,0,188.8,63.3,0.63,-0.118,-0.407,1,0,60,7.3,3.03,29.4,0,0,1,9,1
2,6.85043,81.638347,762,1166.9,6,3,0,0,0,272,1.0,0,43.7,42.0,0.079,-0.017,0.748,0,1,30,34.56,0.79,16.63,0,0,1,9,1
7,9.693253,79.738523,52,260.5,0,2,4,0,1,669,18.5,0,133.3,255.4,0.483,-0.16,0.069,1,0,48,16.21,1.17,45.91,0,0,1,9,1
2,9.294367,81.775382,787,1923.9,5,4,1,0,0,1051,23.6,1,144.1,302.2,0.405,0.174,-0.016,1,0,45,12.2,5.02,42.22,0,0,1,9,1
4,6.341894,81.113651,104,4205.7,0,2,0,0,1,1430,60.8,1,28.7,414.1,0.603,-0.439,-0.538,1,0,91,7.08,1.11,35.29,0,0,1,9,1
1,8.096573,81.790827,55,564.9,2,0,3,0,0,95,1.0,0,17.4,156.7,0.875,0.733,-0.349,1,0,38,7.69,4.44,12.3,0,0,1,9,1
19,7.144524,81.456808,35,1884.9,0,1,0,0,0,569,2.2,0,135.3,216.9,0.2,-0.134,-0.005,1,0,49,6.39,0.27,39.32,0,0,1,9,1
13,6.354833,79.655814,64,1800.5,5,4,4,1,3,1125,30.4,1,152.9,58.9,0.446,0.214,0.147,0,0,52,4.41,1.0,22.06,0,0,1,9,1
23,8.884339,81.591293,38,47.8,2,3,0,0,0,411,42.0,0,189.9,250.3,0.667,0.76,0.244,0,1,59,0.88,7.73,55.48,1,129039,1,9,1
6,9.029122,80.246015,117,1025.6,6,1,4,2,0,2357,16.3,1,37.8,231.4,0.169,0.318,-0.039,0,0,36,3.8,2.71,28.59,0,0,1,9,1
6,7.707727,80.400531,0,6522.8,5,4,4,0,3,1580,71.2,1,115.6,196.8,0.718,0.297,-0.059,1,2,32,5.66,1.04,50.14,0,0,1,9,1
20,6.04645,80.332039,2,183.4,0,0,4,0,0,50,21.6,0,116.6,333.8,0.49,0.075,0.142,0,0,50,0.68,3.09,65.06,0,0,0,0,1
9,6.522854,80.153132,55,5398.1,0,3,3,0,3,614,7.0,0,270.3,117.4,0.568,0.349,0.238,0,0,5,0.67,9.0,40.98,0,0,0,10,1
24,7.651616,80.351586,123,223.3,6,4,3,0,1,537,1.0,0,108.0,165.8,0.81,-0.003,0.147,0,1,54,5.7,34.28,33.67,0,0,1,9,1
22,8.391639,80.339071,79,1110.5,0,2,4,2,0,1136,1.0,1,42.0,107.8,0.019,-0.099,-0.37,1,0,43,2.21,22.35,18.74,0,0,1,9,1
23,6.161698,79.745925,33,2077.4,5,1,0,1,1,221,1.0,1,59.6,374.6,0.654,0.357,0.116,0,0,42,0.64,1.97,41.59,0,0,1,9,1
7,6.055627,81.678964,179,2153.8,6,1,0,0,1,268,25.0,0,124.0,214.2,0.802,0.146,0.099,0,0,83,3.44,8.94,25.18,0,0,1,9,1
16,9.074563,80.448393,124,3550.2,5,1,4,1,3,10,17.7,1,2.6,62.2,0.32,0.244,-0.195,1,0,33,0.97,3.99,9.83,0,0,1,9,1
13,8.929696,81.476482,1,825.8,0,2,3,1,1,557,1.2,0,97.3,164.6,0.741,0.328,-0.042,1,1,45,14.76,7.82,38.8,0,0,1,9,1
22,6.631408,79.771181,117,627.6,5,4,3,0,2,210,51.1,1,84.0,8.6,0.269,-0.024,-0.215,1,0,44,0.79,5.16,14.58,0,0,0,7,1
5,8.982542,80.010161,34,566.5,4,1,0,0,0,1490,40.8,1,8.0,8.7,0.529,0.464,-0.196,1,0,51,3.67,2.38,7.98,0,0,1,9,1
9,9.450436,81.891752,0,2560.8,0,3,4,0,1,10,24.0,0,134.6,44.1,0.67,-0.109,-0.141,1,0,63,6.59,4.93,30.33,0,0,1,9,1
13,8.639695,81.461225,96,1379.3,6,4,2,0,1,284,40.1,0,8.1,130.9,0.329,0.07,0.347,0,0,70,8.09,9.24,13.43,0,0,1,9,1
4,7.560115,81.539555,121,1772.3,0,0,0,0,3,531,35.2,0,29.6,222.5,0.073,0.051,0.128,0,0,30,5.28,0.86,29.53,0,0,1,9,1
15,6.10186,81.683805,839,14.1,3,4,4,0,1,493,15.1,0,19.9,47.4,0.311,0.411,-0.12,1,0,72,15.34,0.29,16.38,0,0,1,9,1
15,8.176071,80.428321,1228,180.8,2,3,0,1,1,231,34.2,0,11.3,278.0,0.525,0.349,-0.209,1,0,50,2.95,17.63,35.76,0,0,1,9,1
3,6.362088,79.990305,5,3802.5,5,1,2,0,1,206,38.3,1,273.1,260.7,0.893,-0.63,-0.112,1,0,95,8.42,4.73,56.02,1,15121,1,9,1
7,9.165935,80.68329,11,359.9,2,2,0,1,3,210,40.9,0,1.5,142.3,0.439,0.331,-0.243,1,1,39,3.83,8.97,39.96,0,0,1,9,1
7,6.692218,80.070127,34,2833.4,6,3,0,1,0,231,3.0,0,29.9,523.2,0.41,0.424,0.307,0,0,16,0.27,2.71,55.84,0,0,0,10,1
11,6.516022,80.640728,5,4281.2,1,2,4,0,0,511,20.4,0,173.0,30.0,0.805,0.036,0.297,0,2,86,10.52,1.25,31.67,0,0,1,9,1
2,7.100784,81.715968,914,8856.7,0,0,0,2,3,321,25.0,0,118.6,59.8,0.485,-0.015,0.062,1,0,47,7.61,3.43,18.54,0,0,1,9,1
10,8.88918,81.463941,609,63.2,0,0,0,0,1,1833,35.2,1,83.8,338.9,0.548,0.052,0.364,0,1,50,13.18,0.37,50.4,0,0,1,9,1
17,6.954162,81.691189,90,235.3,3,3,4,0,2,1019,1.0,1,122.2,170.0,0.253,0.398,-0.109,1,2,53,0.15,19.75,42.61,0,0,0,7,1
6,8.164698,81.063536,181,1195.1,5,1,0,0,0,1766,37.4,1,37.4,332.8,0.271,-0.121,-0.089,1,0,54,36.1,5.9,35.23,0,0,1,9,1
5,6.870016,81.437801,54,10779.8,5,0,2,0,1,1266,46.4,1,153.0,356.0,0.474,0.772,-0.164,1,0,27,7.37,13.38,49.85,1,94276,0,10,1
2,9.739839,80.651804,1031,2256.7,4,3,1,0,1,809,13.5,0,19.8,256.5,0.344,0.046,0.027,1,0,51,2.18,3.81,25.49,0,0,1,9,1
16,7.241955,80.734592,77,658.9,5,0,0,0,1,77,21.5,1,56.6,150.5,0.269,0.783,-0.04,1,0,72,7.68,0.73,19.39,0,0,1,9,1
19,7.955018,81.617001,1560,9872.0,0,3,4,0,3,431,12.8,0,7.8,323.5,0.802,0.137,0.036,1,0,28,0.97,2.91,27.56,0,0,0,10,1
7,8.583791,79.857641,117,4611.6,4,0,4,0,0,1109,1.0,1,11.7,237.2,0.706,0.021,0.052,1,0,70,37.92,10.29,16.93,0,0,1,9,1
1,7.094915,80.743501,17,262.5,4,1,3,2,0,477,1.0,0,118.6,494.4,0.209,-0.068,0.132,0,2,48,3.07,5.24,80.12,1,115687,0,0,1
16,8.757623,81.198911,15,1126.1,5,3,3,0,1,326,2.6,1,25.6,175.9,0.218,0.504,0.473,0,0,51,5.32,0.17,30.57,0,0,1,9,1
24,8.054246,79.955525,43,5197.6,0,1,0,0,1,402,1.0,0,56.1,133.8,0.866,0.15,-0.194,1,0,95,1.47,1.7,10.75,0,0,1,9,1
14,7.683787,80.33025,58,600.4,1,4,4,0,0,71,4.4,0,46.3,22.7,0.406,0.325,-0.307,1,0,48,0.32,3.87,7.88,0,0,1,9,1
12,9.573118,79.947838,149,872.2,4,3,4,0,0,918,10.2,0,56.1,116.2,0.489,0.263,-0.013,1,0,69,5.41,4.43,14.01,0,0,1,9,1
17,7.686956,81.012949,36,2587.2,0,4,3,0,3,652,18.1,0,136.4,226.1,0.714,-0.099,0.221,0,0,54,0.25,12.34,35.05,0,0,1,9,1
21,7.112552,80.45711,12,473.2,5,4,3,2,0,708,10.4,1,128.5,267.4,0.214,0.277,-0.192,1,0,43,0.65,3.14,60.61,0,0,0,0,1
10,5.999219,80.338809,1643,1721.0,3,1,0,0,1,1892,30.7,1,86.9,357.0,0.742,0.607,-0.117,1,0,47,7.0,11.08,37.85,0,0,1,9,1
6,6.78806,79.725756,25,2851.0,3,4,4,2,0,808,57.0,0,8.0,268.0,0.883,0.091,-0.252,1,0,43,10.2,3.08,30.35,0,0,1,9,1
2,6.442005,81.066505,549,646.4,3,1,0,0,0,454,14.1,0,72.4,94.7,0.318,0.228,0.066,1,0,43,19.26,2.84,18.36,0,0,1,9,1
21,6.261623,81.195793,96,2003.2,6,4,1,2,2,409,29.4,0,5.3,31.1,0.57,0.401,0.402,0,0,37,4.54,3.67,5.19,0,0,0,7,1
12,8.469418,81.384256,63,1075.0,3,1,3,0,3,52,5.0,0,173.4,307.7,0.441,0.265,-0.202,1,0,42,8.79,10.4,44.62,0,0,1,9,1
20,7.989241,80.252084,41,39.0,2,1,4,0,0,109,15.9,0,19.5,196.9,0.187,0.404,0.179,0,0,52,29.84,0.8,34.78,0,0,1,9,1
24,6.209359,80.510806,17,1143.7,4,3,0,0,0,309,1.0,0,42.4,501.2,0.572,0.292,0.093,1,0,60,1.86,0.99,54.24,1,279239,1,9,1
23,9.696383,81.007407,7,2227.3,0,3,4,0,0,437,22.7,0,62.0,435.3,0.425,0.462,-0.115,1,0,55,31.99,4.5,56.76,0,0,1,9,1
8,7.472071,81.166793,1,4989.6,3,1,3,0,1,72,15.3,0,86.9,25.7,0.815,0.396,-0.132,1,0,64,13.16,3.69,21.75,0,0,1,9,1
8,6.630247,80.681845,115,1313.0,5,4,1,0,1,504,25.4,1,115.0,78.1,0.567,0.046,-0.372,1,0,50,0.1,0.09,18.61,0,0,1,9,1
11,9.11001,81.692772,15,5754.2,1,2,2,0,0,458,30.3,0,16.9,332.9,0.532,0.098,0.391,0,0,17,3.1,11.3,44.43,0,0,0,10,1
23,9.173516,80.221097,86,564.2,5,3,1,0,2,715,16.1,1,59.4,298.4,0.952,-0.006,-0.46,1,0,68,18.6,12.59,25.29,0,0,0,7,1
23,6.312305,80.788405,25,6009.9,2,4,4,2,1,655,1.0,0,218.7,324.7,0.479,0.58,-0.09,1,0,5,7.15,1.24,61.19,1,103028,0,3,1
18,6.032879,81.081096,34,4232.2,4,3,0,0,3,170,3.7,0,52.9,369.4,0.528,0.088,-0.042,1,0,51,6.07,5.36,40.68,0,0,1,9,1
5,8.016166,79.772927,15,523.8,3,3,4,0,1,957,69.3,0,125.6,338.2,0.466,0.287,0.365,0,0,29,0.65,4.72,57.15,0,0,0,10,1
22,5.983719,80.255294,54,1980.1,3,4,3,0,0,489,1.0,0,36.5,314.1,0.669,0.462,-0.069,1,0,43,15.2,2.54,28.88,0,0,1,9,1
5,9.168637,80.089291,27,7681.8,4,2,4,1,0,888,53.8,0,122.3,25.3,0.573,0.461,-0.379,1,0,33,13.59,4.74,24.9,0,0,1,9,1
16,6.109258,80.78579,91,395.1,0,0,0,1,1,576,24.4,0,170.9,21.3,0.163,0.254,0.278,0,2,74,8.97,0.32,35.06,0,0,1,9,1
18,5.980172,80.529035,28,5466.6,2,3,0,0,1,65,38.2,0,45.2,398.0,0.343,0.037,0.175,0,0,75,12.15,9.23,45.27,0,0,1,9,1
3,6.31056,80.275169,19,7861.3,5,4,1,0,1,10,20.6,1,0.7,342.4,0.848,-0.315,-0.021,1,0,33,2.71,6.42,37.15,0,0,1,9,1
16,6.482965,80.989559,43,2380.1,2,2,3,0,1,233,4.1,0,52.7,64.8,0.683,0.981,-0.033,1,0,41,1.92,16.79,12.04,0,0,1,9,1
23,8.279723,81.227564,1,31.0,0,1,1,0,3,958,1.0,0,101.1,290.3,0.46,0.065,-0.033,1,0,54,4.56,7.71,59.05,0,0,1,9,1
13,6.828146,80.880471,123,456.4,5,4,1,0,1,760,39.1,1,101.0,160.6,0.54,-0.237,-0.37,1,1,39,5.44,2.0,38.64,0,0,1,9,1
13,6.711142,81.037763,102,1474.0,3,1,4,0,1,716,16.7,0,10.4,329.7,0.492,0.713,0.208,0,0,41,4.67,6.29,30.33,0,0,1,9,1
18,9.075149,80.593627,139,1826.8,0,4,4,0,1,450,27.1,0,45.1,356.6,0.194,0.06,0.372,0,0,61,10.99,7.65,37.54,0,0,1,9,1
1,8.674794,79.898472,10,575.2,0,2,4,2,3,114,73.1,0,159.6,287.8,0.7,-0.241,-0.057,1,0,24,5.6,1.29,56.2,1,138086,0,10,1
8,9.481725,80.425758,91,26.7,0,1,3,0,0,133,13.4,0,86.9,455.2,0.207,0.14,-0.515,1,0,49,10.55,12.81,60.32,0,0,0,0,1
9,7.334799,79.887027,56,1871.7,0,2,1,0,0,10,1.0,0,14.8,53.8,0.061,0.364,-0.659,1,0,40,7.98,4.56,11.4,0,0,1,9,1
3,8.72134,80.765333,43,7868.1,4,2,3,2,2,667,1.7,0,62.6,286.0,0.844,0.527,0.182,0,0,23,10.51,7.17,31.54,0,0,0,11,1
21,9.226623,81.547484,75,3136.2,3,2,2,0,1,393,1.0,0,43.8,398.0,0.461,0.585,-0.152,1,0,63,13.03,3.41,36.69,0,0,1,9,1
6,8.16419,80.372615,11,932.1,2,4,3,0,0,905,41.3,0,10.6,166.6,0.705,0.517,0.349,0,0,47,13.0,4.38,26.96,0,0,1,9,1
3,5.959244,80.116295,1,2172.3,5,2,0,0,1,901,1.0,1,68.8,284.8,0.729,0.365,-0.201,1,1,87,7.33,11.86,41.87,0,0,1,9,1
4,8.833595,81.327945,174,286.9,1,2,4,0,0,2210,8.6,1,105.9,411.2,0.413,0.129,0.225,0,1,16,12.0,10.34,62.06,1,126056,0,3,1
0,9.033333,81.332637,25,1247.2,3,2,2,0,3,297,9.9,0,65.1,143.1,0.458,0.376,-0.167,1,0,44,13.4,7.36,27.45,0,0,1,9,1
16,6.284418,81.897508,119,3286.7,5,0,4,2,0,206,1.7,1,40.5,373.1,0.106,0.257,0.097,1,0,59,7.84,11.99,38.27,0,0,1,9,1
24,7.481904,79.805989,130,2254.8,2,2,2,0,1,689,24.2,0,25.8,442.7,0.758,-0.382,0.175,0,0,58,23.84,10.73,37.3,0,0,1,9,1
0,8.644003,80.489526,167,2388.9,5,4,3,0,1,451,1.0,1,129.4,136.4,0.806,0.186,0.131,0,0,83,14.57,9.74,18.0,0,0,1,9,1
2,9.586363,81.087822,1273,2057.7,5,4,4,0,1,539,23.1,1,36.0,226.3,0.342,-0.169,0.11,0,0,60,3.77,9.66,24.19,0,0,1,9,1
23,9.150693,81.893785,67,1251.0,1,2,2,1,3,472,10.7,0,44.3,167.1,0.479,-0.076,-0.123,1,0,34,1.27,21.69,20.7,0,0,1,9,1
15,6.572388,79.907471,1017,496.2,0,1,1,0,3,84,1.0,0,44.0,336.2,0.498,0.071,0.029,1,0,38,33.2,3.02,43.69,0,0,1,9,1
24,6.130764,80.591866,154,1708.0,3,1,0,0,3,353,40.3,0,114.5,10.5,0.408,0.776,-0.106,1,0,58,4.18,2.39,14.46,0,0,1,9,1
12,7.585389,80.806164,52,2665.4,0,1,1,1,0,853,39.8,0,63.1,92.8,0.377,0.045,0.212,0,0,36,6.88,4.91,18.66,0,0,1,9,1
9,9.081855,80.218796,124,1703.0,2,4,2,0,0,186,64.6,0,241.4,176.4,0.325,-0.066,-0.25,1,0,25,23.15,5.65,46.32,1,156045,0,10,1
14,9.57916,80.703155,145,335.6,2,0,1,2,1,388,1.0,0,20.0,138.4,0.687,0.072,0.192,0,0,43,5.57,0.31,22.41,0,0,1,9,1
18,7.027806,81.569209,88,485.4,4,0,1,0,3,677,12.3,0,103.8,341.0,0.719,-0.061,0.07,1,3,14,3.06,8.3,55.82,0,0,0,10,1
16,8.025179,81.394299,7,61.1,3,0,0,0,0,88,21.7,0,80.2,339.1,0.349,0.483,0.219,0,1,66,3.32,0.49,62.67,1,119279,0,0,1
5,9.916369,80.867257,33,360.4,0,3,0,0,3,1391,61.0,1,19.0,10.2,0.759,0.013,-0.049,1,1,66,10.1,11.63,19.21,0,0,1,9,1
22,9.52703,81.695644,118,633.9,0,1,4,2,1,118,11.0,0,20.6,236.7,0.959,0.083,-0.302,1,0,35,6.33,13.96,19.24,0,0,1,9,1
10,6.78253,79.684148,435,4127.4,0,4,4,1,1,1594,82.9,1,77.6,330.3,0.39,-0.06,-0.356,1,0,47,12.24,7.22,40.83,0,0,1,9,1
23,9.397036,80.15189,67,2757.9,0,3,2,0,3,563,1.0,0,90.3,108.1,0.41,-0.017,0.007,1,0,43,9.34,13.68,19.69,0,0,1,9,1
9,9.223819,80.724038,27,3276.9,5,0,4,0,3,30,1.0,1,9.1,111.1,0.291,0.388,0.103,0,0,36,21.71,6.91,20.61,0,0,1,9,1
3,8.336813,81.758495,15,2123.6,3,0,2,0,1,203,1.0,0,147.3,448.0,0.342,0.686,0.102,0,0,63,3.08,3.46,62.89,0,0,0,0,1
17,6.934112,79.888217,14,2252.9,0,2,0,0,3,10,10.0,0,76.4,185.1,0.364,0.355,0.439,0,0,40,1.99,13.04,36.72,0,0,1,9,1
23,7.781683,80.504138,18,191.6,4,1,4,0,3,154,16.1,0,52.9,240.7,0.778,-0.004,0.125,0,0,34,17.26,4.92,44.57,0,0,1,9,1
4,5.925835,81.851298,44,2606.6,4,2,1,0,3,1709,71.2,1,34.3,211.7,0.587,0.19,0.111,0,0,19,2.94,4.74,28.66,0,0,0,10,1
14,9.043976,79.943628,54,3191.2,0,3,2,0,1,1044,37.0,1,148.8,107.3,0.69,-0.124,-0.04,1,0,59,10.51,17.6,22.87,0,0,1,9,1
21,7.170511,80.207715,8,1670.4,4,1,0,0,1,873,63.7,0,164.0,170.6,0.467,-0.167,-0.36,1,0,75,3.23,6.52,44.23,0,0,1,9,1
22,7.894768,80.644741,12,1509.8,4,2,2,0,1,10,24.5,0,34.9,71.0,0.276,0.14,0.392,0,0,44,8.21,1.81,24.87,0,0,1,9,1
0,7.266109,80.351802,101,3126.3,5,3,0,0,0,552,22.6,1,30.3,239.3,0.019,-0.159,0.566,0,1,42,4.56,3.55,32.21,0,0,1,9,1
9,7.237653,80.919522,27,5449.4,2,2,2,0,3,581,36.7,0,103.4,306.2,0.223,0.463,0.225,0,0,70,9.18,5.14,45.36,0,0,1,9,1
